dataset,filename,stem,extension,size_bytes,width,height,mode,md5,phash,path
dataset_A,IMG20221109153124.jpg,IMG20221109153124,.jpg,6332484,3456,4608,RGB,525d4fb3c82584e91e486ca3bc325815,e1f5c5ceb8002bbc,data\raw\dataset_A\Pics\IMG20221109153124.jpg
dataset_A,IMG20221109153126.jpg,IMG20221109153126,.jpg,6315578,3456,4608,RGB,34bc7f110ac64afbcd55f48722d055be,f2f2ccd93bab8005,data\raw\dataset_A\Pics\IMG20221109153126.jpg
dataset_A,IMG20221109153127.jpg,IMG20221109153127,.jpg,8855932,3456,4608,RGB,15fa830d21c6f412cc4931f4c53b5904,e461b6dc74b4e168,data\raw\dataset_A\Pics\IMG20221109153127.jpg
dataset_A,IMG20221109153130.jpg,IMG20221109153130,.jpg,8679514,3456,4608,RGB,6e78223f2ab845c8f6104bfd6e5e6b19,c9c9ccd858b5359a,data\raw\dataset_A\Pics\IMG20221109153130.jpg
dataset_A,IMG20221109153131.jpg,IMG20221109153131,.jpg,7739236,3456,4608,RGB,932858849ccb141a1e29688530c353c0,9263ccd5c764d998,data\raw\dataset_A\Pics\IMG20221109153131.jpg
dataset_A,IMG20221109153132.jpg,IMG20221109153132,.jpg,7050507,3456,4608,RGB,1d5b11173daae69e6f5ffda6711ca58b,e4c992c8daf2b465,data\raw\dataset_A\Pics\IMG20221109153132.jpg
dataset_A,IMG20221109153133.jpg,IMG20221109153133,.jpg,7957027,3456,4608,RGB,7d4dda904d902826c8647fa26b3ad8ea,e2e296deb43aa4e0,data\raw\dataset_A\Pics\IMG20221109153133.jpg
dataset_A,IMG20221109153136.jpg,IMG20221109153136,.jpg,8926218,3456,4608,RGB,6b4c88f8fcd5be94f712bc47f2f44621,84ce5cdbdec072e0,data\raw\dataset_A\Pics\IMG20221109153136.jpg
dataset_A,IMG20221109153139.jpg,IMG20221109153139,.jpg,9080702,3456,4608,RGB,2c3a0adaae252b834f4bb262b92462da,8f8af067033f381e,data\raw\dataset_A\Pics\IMG20221109153139.jpg
dataset_A,IMG20221109153140.jpg,IMG20221109153140,.jpg,8838446,3456,4608,RGB,fec6d4bc9f7ac69a89b9272d2736362b,bf8328f85f470507,data\raw\dataset_A\Pics\IMG20221109153140.jpg
